summary,intent
코닥이 저번주부터 개미만 파는데 많이 내리네요 원래 수급은 신경 안쓰는편이긴한데 이럴수도 있나요?,매매동향
누적거래량에 대한 매매를 누가 했는지도 알 수 있는지요?,매매동향
시간외 단일가의 매매동향도 확인할 수 있나요?,매매동향
HTS 중에 일자별로 기관 외국인 개인 매매동향보면 평균매수단가도 보여주던데 이 값은 어느 정도 신뢰할 수 있나요?,매매동향
세력이 빠져 나갔음 또는 남아 있음을 알 수 있는 방법이 있을까요?,매매동향
수급의 이동 어떻게 판단해야 하나요?,매매동향
기관이 매수 하지 않는다는건 무엇을 의미하는지요,매매이유
지금 외인이 코스닥은 사고 코스피는 파는 이유가 뭐에요?,매매이유
해덕파워웨이 순식간에 급락 하더니 외국인이 엄청 담았던데 이유가 뭘까요??,매매이유
장시작전까지 상한가 만들었다가 빼는 이유?,매매이유
외국인들 선물 매수하면서 풋을 사는 이유가 뭔가요,매매이유
혜인 산하 혜인자원이 자원개발 중단한 상태라고 뉴스 내보내고 폭락하는데 그와중에도 사는 사람들은 왜 사는걸까요,매매이유
매수/매도를 1주씩 하는건 어떤 의미인가요?,매매이유
가끔 1주씩 자주 매수하며 호가창 상단가가 표시되도록 하는 세력들이 있는데 이유가 있나요?,매매이유
장마감 동시호가 때 기관에서 물량 싸그리 매도했는데 어떻게 봐야 하나요?,매매이유
어제 기관(투신)에서 매수한 물량 그대로 오늘 기관(사모)에서 매도했는데 이건 어떤 상황에서 발생하는 현상일까요?,매매이유
외국인 실시간 매매현황은 올라오는데 대체 왜 기관 매매 현황은 장중 세번에 걸쳐서만 올라 오나요?,매매이유
외인변동이 의미하는 바는 무엇인가요?,매매이유
호가창 지지 물량의 이유가 궁금합니다.,매매이유
공매도랑 대차 상환이 하루 거래량을 뛰어 넘는건 무슨 이유로 저렇게 잡히나요?,거래
세력들이 상한가든 슈팅이든 주가 올린 뒤에 조정을 주는 이유가 무엇인지 궁금합니다,매매이유
오늘 유진로봇 급등하길래 보니까 거래가 엄청 빈번하다가 다시 평소 거래처럼 몇십주 몇백주 거래되는데 몇초 간격으로 수십분간 왜 1주씩 거래될까요,거래
세력들은 외인과 개인이 팔고 나가는 시점에서 왜 매수를 하는걸까요?,매매이유
한국화장품제조가 대장주로 알고 있는데 한국화장품제조가 가장 많이 빠지는게 한국화장품제조가 단기과열이 풀리면서 쏟아져나오는 물량에 여파라고 봐야하나요?,등락원인
글로벌텍스프리 막판 2시30분경 한국투자인가 하나투자인가 상세거래원에 갑자기 100만주 매도 물량이 잡히던데 왜 그런거죠,매매이유
오늘 빅텍 거래를 보면 대신증권에서 120만주를 주구장창 샀다가장 막판 단일가에 다 정리했는데 그 가격이 단한번도 산적없는 아래가인데 이 짓을 왜 했을까요?,매매이유
상한가인줄 알고 고점에 들어 갔는데 상을 못친 경우 어떻게 해야 하나요…?,매매전략
16% 먹었는데 익절할까요..?,매매전략
계속 마이너스에 머물러 있는 종목 손절 할까요?,매매전략
공매도 세력이 붙은 종목은 어떻게 대처하는게 좋은 방법일까요?,매매전략
넥슨지티 지난주에 손절했는데 다시 좀 사볼까 마구 흔들려요,매매전략
대북주 투자한거 -9%까지 떨어졌는데 손해 보더라도 매도해야되겠죠?,매매결정
대우조선해양주식 어떻게하죠?,매매전략
동전주가 되면 1000이 되기까지 한참 기다려야되나요?,매매전략
두군데 넣어둔게 계속 떨어지기만하는데 이럴땐 기다려야할까요,매매전략
미중무역 전쟁 + 글로벌 경기 침체 등으로 변동성이 크다라고 하는데 그럼.... 롱 스트레들 하면 이득볼수 있는거 아닌가요?,매매전략
미중무역 협상이 노딜로 끝나고.. 2~3주 여유두고 결론을 낸다는디 샘표 좀더 두고봐도 될까요?,매매전략
상반기에 코스닥150레버리지펀드에 투자를 했는데 그냥 뒀다가 지금 45% 마이너스인데 이 상황이시면 어떻게 하시겠어요???,매매전략
세력 mri 들여다보면 매수세력이 많으면 들어가는게 좋은 방법인가요,매매전략
수익은 나지만 총액이 줄면 보유종목 손절 해야 하나요??,매매전략
신일산업 가지고 있어야될까요~?,매매결정
어떤 주식이 유망하다 또는 뇌동매매로 인해 100에 샀다고 했을 경우 이 주식이 얼마나 빠졌을 때 평단가 낮추기를 하시나요?,매매전략
에이치엘비 비중 30프로 베팅한다는걸 종가베팅하느라 비중 100이 되어 버렸는데 내일 하락하게 된다면 어찌 빠져나와야 할까요ㅠㅠ,매매전략
엘지전자 7만원 후반대에 매수했는데 너무 떨어졌는데 기다릴까요,매매전략
엠아이텍 평단 5400에 샀었다가 한 20퍼 꼬라박고 한달 버티니 복구됐는데 이제부턴 진짜 붙들고 있는게 좋을까요...?,매매전략
오늘 고점에 물려서 내일까지 볼려고 그대로 놓아 두었는데 에프알텍이 내일부터 단일가 거래라는데 그냥 둬야하나요?,매매전략
이아이디 마이너스 20만원인데 지금이라도 손절을 하는게 나을까요..,매매전략
익절 잘하는 방법이 있으시면 조언 부탁드립니다.,매매전략
"장기투자 종목의 경우, 다음날 혹은 언제 종목 가격이 하락할 것으로 예상되는경우에는 잠깐 팔았다가 다시 사야되는지 문의드립니다.",매매전략
제일바이오를 목요일 종가에 사서 물리는 바람에 손절도 못하고 들고 있는데 낼 장 시작에 매도해야 할까요?,매매전략
중장기 투자/트레이딩 에서의 분할 매수/매도 기법,매매전략
차이나그레이트 330원에 보유 중인데 계속 들고 가는게 좋을까요?,매매전략
코스닥150레버리지....손절할까요?,매매전략
테라셈 종목 1530원에 매수하였는데 계속 가지고 있어야 하는지 너무 궁금하네요!,매매전략
텔루스 물려있는 상태인데 가망없이 손절처리해야하나요 아니면 기다려볼만하나요?,매매전략
평균 얼마씩 매입하시나요?,매매전략
평단이 중요하니까 계속 분할로 사야할까요?,매매전략
하이트진로홀딩스 자꾸 떨어지는데 손절하고 나오는게 나을까요?,매매전략
한진중공업 너무 많이 물려 있는데 그래도 오늘 손절해서라도 팔아야 하나요?,매매전략
윙입푸드를 사게 되었는데 수익률이 -28.95%인데좀 더 가지고 있어야하는지 지금이라도 틀어야할지 고민입니다,매매전략
"몇년전에 SM C&C를 1340주를 샀는데 정확히 반토막 상태로 현재도 보유중인데 이 시점에 물을 타야 할지 아님 미련버리고 매도를 하고, 되는 주식으로 복구를 할지 모르겠습니다.",매매전략
"경보제약에 평단 16283원에 약 300주정도 담궈놨는데 이게 떨어져서 10,200원인데 이걸 손절하자는게 맞을까요?",매매전략
종베 후 다음날 갭 하락이 발생했을 때 대응을 어찌 하시는지요?,매매전략
한달 전에 삼본정밀전자 4100 원에 담았었는데 현재 2500원(-38%) 입니다 상한가 갈 일도없을듯하고 어찌해야되나 고민입니다,매매전략
"좋은 종목이 있어도 시장이 좋을때만 매수하고, 보유종목이 상승추세여도 시장이 하락장이면 보유종목 모두 매도하고 그러나요?",매매전략
제가 갖고있는 종목이 내일부터 정리매매 시작한다는데 어떻게 대처해야 하나요?,매매전략
"제이준코스메틱, 덱스터 신과함께2 흥행발표 나자 다음날부터 추락 세력들의 개미총알받이 냄새가 나는데 지금이라도 손절을 할지 들고가야할지 고민스럽습니다",매매전략
시총이 큰 것보다 작은 것이 움직임이 좋던데 혹시 장투하시거나 스윙하는분들중에 시총도 고려해서 매매하시나요?,매매전략
오성첨단소재 손절해야하는지 추가 매수를 해야하는지 조언부탁 드려요,매매전략
현대상사 고점에 들어가서 평단가4만7천원인데 손실이 어마어마한데 손절해야하나요?,매매전략
배럴 손절해야되나요?,매매전략
대북주 지금 손절해야 하나요 아님 다음주까지 버텨야 하나요?,매매전략
손절은 어느때쯤 들어가시나요?,매매전략
삼성SDS 손절 어떻게 보시나요?,매매전략
남북경협테마주 철도관련주를 대부분 샀는데 요즘 주츰해서 손실이 조금 났는데 아직 북미 회담도 안이루어졌고 북한 UN 제재도 풀리지 않고 있는 상태라서 어떻게 하는 것이 좋은대응인지 궁금하네요,매매전략
비상장 주식을 액면가 500원으로 3000주 정도를 받았는데 1주당 2500원으로 자기주식취득계획서라고 해서 양도서와 함께 날아왔는데 곧 상장을 하려나본데 보유해야 할까요 아니면 양도할까요..,매매전략
보유종목이 3개인데 손실율이 너무 큰데 과감히 손절을 했어야 했는데 어떻게 하는게 좋은지 조언 좀 부탁 드리겠습니다.,매매전략
에이티 제 기준에서는 반등이 나올꺼라는 믿음이 있었는데 오늘 갭하락 보니 제가 틀린 것 같은데 손절을 하는게 맞을까요,매매전략
"차트가 일봉, 주봉, 월봉이 정배열이 되면 계속 가려는 성향이 있다고 알고 있는데 고점에서 어느 정도까지 무너져야 손절 혹은 익절은 해야 하나요?",매매전략
NHN한국사이버결제 물렸습니다 추매를 해서 빨리 탈출하고 싶은데 조언 좀 부탁드립니다,매매전략
엔피케이 3100원에 물려서 놔뒀더니 2800원 됐는데 이거 세력주인가요 손절해야 되나요,매매전략
파루 평단 4900대에 물려있는데 어떻게 할까 고민중이네요..,매매전략
"손절가를 만약 10,000원으로 잡았다고 한다면 꼬리가 아니라 종가가 10,000원을 이탈해야 손절하는거 맞나요?",매매전략
용평 가져가야할지 정리할지 고민입니다,매매결정
3일만에 시간외까지 포함해서 20%가 올랐는데 너무 짧은 시간에 크게 슈팅하는 덕분에 어찌 대처해야할지 모르겠네요,매매전략
"주식의 평단가를 낮추려고 하는데,특정 주식의 총 매입금액의 비중을 줄여가면서 점차 평단가를 낮추는 것이 가능하지 않을까해서 문의드려봅니다.",매매전략
"이녹스, 만도 종목별 장세라고 하는데 묶여 있어 아무것도 못하고 있어서 두 종목을 빠져 나오고 싶습니다.",매매전략
롯데쇼핑 주식이 있는데 매수청구 해야하나요 그냥 둬야 하나요?,매매전략
"오늘 상한가를 5분만에 기록했고 거래가능한 주식 수가 500만주 가량 되고, 현재 1000원대의 지폐주인데 10000원선까지는 갈 수 있을꺼 같은 작전주인데 조언과 충고 부탁드립니다.",매매전략
어제 새벽에 natural gas를 팔고 자야되는데 깜빡잠이 들어버려서 지금 들어가보니 만기종목이라고 나오는데 이후 어떻게 되는건가요?,매매전략
셀트리온 비싸게 샀는데 어떻게 해야될까요?,매매전략
"1200만원 정도 펀드에 넣어 두려 하는데, 쪼개서 적립식으로 할까요?",매매전략
위메이드를 48000원에 물려 3년 이상 고생 중인데 현재 -10%까지 올라와 있는 상태인데 소량씩 매도 매수를 반복하여 단가를 낮추어 복구하는 것이 나을까요?,매매전략
현대중공업 주식이 있는데 14만원대인데 팔고 녹십자랩셀이나 녹십자셀 사는게 나을까요?,매매전략
코스닥 지수의 조정이 올 것 같다면 미리 부분 익절하고 관망 후 재매수 재매도 하는게 맞나요?,매매전략
코스닥 지수의 조정이 올 것 같다면 코스닥 지수 조정이 온 후에 하락에 볼륨 실리는걸 보고 정리하는게 맞나요?,매매전략
투자금액 500만원 중 380만원 정도를 일진머티리얼즈 35800원 선에서 매수했고 현재 34350원인데 홀딩을 해야 좋을지 손절매를 해야 좋을지 의견을 구합니다.,매매전략
남성 52주 최고가 5110원이던데 들어가도 될지..,매매결정
두산중공업 주식 파는 시기 질문드려요,매매타이밍
"모나미, 신성통상에 소액 넣었는데 신성통장 수익 30%이고 모나미는 6% 지금 팔아야해요?",매매타이밍
삼성 투자하려 하는데 언제 투자하는게 젤 좋을까요?,매매타이밍
어느 정도에 매도해야 할까요?,매매타이밍
저 에어부산 가지고있는데 계속 들고 가야하는지 지금 팔아야 하는지 초보라 감을 못잡겠어요,매매타이밍
코오롱글로벌우 25000원 30% 세종메디칼 22000원 20% 이 두종목 -40%인데 언제까지 기다려야 원금까지 갈까요?,매매타이밍
파워넷이 아이즈비젼 인수했다고 해서 지금 매수시기일까요,매매타이밍
"진에어 주당 20,825원에 매수해서 거의 2주째 물려있는거 같아요 계속 가지고 있다가 빨간불 켜지면 팔아야할지, 지금이라도 손절해야할지 고민중 입니다.",매매타이밍
현재 원익 테라 세미콘을 들고 있습니다.오늘 공시로 내일 자사주 처분을 한다고 합니다. 내일 전강후약의 장을 예상하고 오전에 손절치는게 좋을까요?,매매타이밍
뉴스에서 난리쳐서 봤더니 종목들이 엄청 저렴해졌던데 지금쯤 들어가도 괜찮을까요?,매매결정
필룩스 더 봐도 되겠죠?,매매타이밍
삼성전자 오늘까지 보유해야 배당금 받는걸로 알고있는데 내일 매도해도 되는건지 아니면 금요일까지 보유 후 월요일 매도 해야하는지요.,매매타이밍
레이젠 손절하고 지금 매도해야 할까요 아님 종가나 내일 시작가를 기다렸다가 매도할까요?,매매타이밍
월요일날 남북경합주 매수할 수 있을까요,매매타이밍
"골든브릿지 종가 2845으로 마감해서 525,460원 잃었는데 내일 당장 팔아야 할까요 아니면 조금 더 지켜볼까요",매매타이밍
카카오 지금 하락하던데 들어가도 될까요?,매매타이밍
"전기차 배터리, 신재생 에너지 무조건 장기투자하면 손해는 안볼거 같은데 지금 들어가야할까",매매타이밍
.하나은행 이스트스프링글로벌이머징 2007년도에 가입이 된 상품인데 계속 마이너스다가 투자방식이 모투자로 바뀌면서 지금 수익이 조금씩 오르고 있습니다. 7.9%로 인데 지금 빼는게 맞을까요?,매매타이밍
카카오 지금 들어가기엔 무리일까요?,매매타이밍
아미노르직스 지금 투자 어떤가요?,매매타이밍
피델릭스2200원 정도에 매수하였지만 낼 봐서 추가 매수 예정인데 어떻게 생각하시나요?,매매평가
거래량이 없는데 주가가 하락 하고 있으면 팔려는 사람은 많고 매수하려는 사람이 별로 없는거라 해석하면 되는건가요?,투자
철도관련주 사는건 아직 섯부른 판단인가요?,매매평가
"어느 종목을 200주 매수하여 흐름이 좋아 매도할 경우 50주, 100주 등 분할매도하는게 나은가요 아님 200주 한꺼번에 매도가 나은가요?",매매평가
종가에 한컴시큐어 괜찮아보여 들어갔는데 어떤가요?,매매평가
"엔벨로프, 마지막지지로 매입, 7~10% 수익 절반 실현 후 1차 매도가 아래로 내려오면 전량 매도하는게 옳은 방법인가요?",매매평가
동전주는 매수와 매도를 하면 안되나요??,매매평가
"한전기술, 한전KPS 매입했는데 어찌 생각하시나요",매매평가
고려제약 막 사재기했는데 사자마자 막떨어지는데 고려제약 어찌해야될까요,매매전략
코덱스레버리지 18500원 매수 의견 부탁 드립니다,매매평가
제가 산 시세보다 엄청 떨어지는데 cmg제약 팔았어야했나요?,매매평가
Sk이노베이션 지금 20만원정도 하는데 장기투자 계획하고 있는데 지금 들어가는건 어리석을까요?,매매평가
애기한테 증여하는 용으로 15년정도 그냥 묵힌다면 삼성전자가 가장 나을까요??,매매평가
3년 전 위메이드를 1주 47800원에 총매수가 1천만원 정도를 사서 물려있는 상태인데 최근37000까지 올랐지만 지금 팔면 손실금이 3백여만원인데 그래도 이 정도에서 팔아치우는 것이 답일까요?,매매평가
"셀트리온, 셀트리온 헬스케어, 셀트리온 제약 장기투자 어떻게 생각하세요?",매매평가
어떤 주식이 감자를 2:1정도 한다면 주식을 감자 후 신규 거래될 때 사야 할까요,매매전략
마인드 컨트롤 방법???,멘탈
멘탈관리를 어떻게 해야할까요,멘탈
손실 후 복구매매 충동매매 안하는 방법이 있을까요?,멘탈
손절시 멘탈관리 어케하시나요,멘탈
미국 다우 떡실신중 -440 빠지는 중인데 오늘 잠은 다 잤네요,멘탈
오픈베이스 3160에 물렸는데 본전올 줄 알고 안팔았는데 거래량만 계속 터지고 있는데 살려주이소,멘탈
손절 다들 극복 어떻게 하셨나요,멘탈
가치투자 생각하고 있어서 적당한거 샀는데 궁금해서 자꾸 자꾸 들어가서 업무가 안되는데 멘탈 관리법 조언 부탁드려요,멘탈
순자산만 2억정도 잇엇는데 다 날려먹고... 수중에 1천만원 남앗네여... 사람이 이러니까 안좋은 생각도 많이 하게되고 이순간을 어떻게해야 넘길수잇을까요...,멘탈
추격매수를 하다가 손해본 경험이 많아서인지 망설이다가 사지않고 이익을 놓치는 경우가 많은데 이럴 때 어떻게 마음을 잡아주면 좋을까요?,멘탈
주식하다가 멘탈이 흔들릴때 잡는 본인만의 방법이 있으신지요?,멘탈
오늘같이 장이 시퍼렇게 질린날은 주식 하기 싫군요. 정말 공부하는만큼 수익이 있을까요?,멘탈
주당 1주 무상증자 공시면 제가 5000원에 10주 들고 있으면5000원 10주가 더 생기는건가요.?,유무신전
전환사채나 유상증자 납입이 제대로 되었는지 확인하는 방법은 없나요?,유무신전
전환사채발행이 호재인지 악재인지 헷갈리네요,유무신전
3자배정 유상증자 공시가 떳는데 시간외에서 왜 내리나요?,유무신전
유상증자 후 내려가는 주식과 올라가는 주식 구분법 좀 알려주세요,유무신전
디젠스란 종목을 가지고 있는데 유상증자 권리락 공시가 떳는데 어떻게 해야 하는지 모르겠어요,유무신전
액면가 분할과 유상증자 무상증자의 차이점이 궁금합니다,유무신전
유상증자랑 전환사채가 악재 맞죠?,유무신전
"비상장 주식의 경우 유상증자로 해당 주식을 소유하게 될 시, 어떤 이득이 있나요?",유무신전
유상증자하면 주가가 오르나요?,유무신전
신주배정기준일에 주식을 보유하고있다면 배정비율에 따라 신주가 배정되는건가요?,유무신전
전환사채 결정문에 보면 상장여부에 아니오라고 나오면 유통주로 나오는게 아니라는말이죠?,유무신전
유증보다 무증 권리락날 상승하는 확률이 높은거 같은데 뭘 보고 상승이나 하락 할 확률을 예측할 수 있는건가요?,유무신전
유상증자를 할 때 권리락을 받으면 어떤 점이 안좋은가요?,유무신전
주주배정 일반공모방식의 유상증자를 하게 되면 왜 주식의 가치가 희석되어서 주가가 떨어지나요?,유무신전
무증한만큼 평단이 떨어지는고 자본금만 늘어날뿐 주주들은 주식수말곤 변화가 없는데 잉여금을 자본금으로 만드는 이유가 뭔질 모르겠습니다,유무신전
인트론바이오가 무상증자한다는데 무상증자하면 무상증자를 받고 매도하는게 나은가요?,유무신전
보유한 주식이 다음주에 신주인수권증서 발행한다는데 가격은 제가 매입한 가격보다 많이 쌉니다... 청약을 하는게 좋은지 궁금합니다,유무신전
전환사채 남아있는 물량은 어디서 확인하나요?,유무신전
유테크 제3자 유상증자 공시 해석 좀 부탁합니다,유무신전
에이프로젠kic 주식이 유상증자를 결정했고 이게 악재라고 하던데 악재는 상폐로 가게되나요???,유무신전
브이원텍 무상증자 5일 넘어서까지 들고 있었으면 그 이후에 팔아도 25일에 들어오는거죠?,유무신전
신주인수권부사채 발행후 만기전 사채취득이라는 공시가 떳는데 이게 사채를 회사에서 갚았다는 말인가요?,유무신전
유상증자는 단순히 증자인데 오버행이 발생하는 주체는 누구인가요?,유무신전
권리락 전에 매수했는데 신용으로 매수한 주식은 무상증자 받을 수 없는건가요?,유무신전
CMG제약이 얼마전에 유증이 나왔는데 신주인수권 배정 내역이라는게 날라왔는데 이거 어떻게 해야하는 건가요?,유무신전
제가 3일전에 제노포커스를 사서 어제 권리락을 당한후에 19일 아침에 매도 했는데 20일이 무상기준일이라고 하는데 저는 무상증자 주식을 받을 수 없는건가요?,유무신전
제3자 배정 유상증자 일정을 미리 알 수 있는 방법이 있을까요?,유무신전
"캔서롭, 필룩스 두 종목 다 어제 전환사채 발행했고 캔서롭은 주가가 떨어졌는데 필룩스의 경우 상한가 갔는데 두 종목 주가 방향이 이렇게 다를 수 있나요?",유무신전
전환사채 및 신주인수권부사채 조회 방법을 알고 싶습니다.,유무신전
미래에셋대우 신주인수권 할까요??,유무신전
오늘 미래에셋대우 46R이라는게 계좌로 입금돼서 신주인수권이라는 것까진 알아냈는데 일정이나 언제까지 뭘 해야하는지 못찾겠어요 도와주세요,유무신전
가지고 있는 종목이 유상증자를 하게 되면 나중에 증자를 받게 되면 기존에 가지고 있던 주식 수에 합산이 되는건가요?,유무신전
코오롱생명과학 무상증자 관련하여 금일 계좌에 주식이 입고되었고 매도 했는데 금일 매도한금액이 이틀 뒤 반영되면 총계좌금액이 증가하나요?,유무신전
"주주배정 유증은 거의 악재로 작용하는 것으로 알고있었는데, 흥아해운 청약률을 보니 500대 1 이던데, 이 점이 자금 조달을 많이 받을 수 있다는 면에서 호재였던건가요?",유무신전
KG케미칼 행사 가능한 미상환신주인수권부사채가 있는건가요?,유무신전
유무상증자 했을 때 손익계산을 하고 싶은데 혹시 어떻게 계산하는지 아시는 분 있을까요?,유무신전
유상증자 뉴스 나오면 주가가 막 떨어지던데 유상증자가 호재일 때가 있나요?,유무신전
알테오젠 무상증자 권리락 발생했는데 만약에 오늘 다 팔았으면 28일날 증가분 주식은 공짜주 식이나 마찬가지네요?,유무신전
알테오젠이 어제 무상증자 권리락 발생하였는데 만약 어제 매수해서 오늘 팔았으면 28일날 증자분주식 들어오지 않는건가요?,유무신전
아우딘퓨쳐스 무증날이 12월 21일인걸로 아는데 그렇다면 주식을 10주 가지고 있으면 무증을 1주에 0.7주 준다고 하면 내 계좌에는 17주가 생기나요?,유무신전
윈팩을 오늘 매수했는데 유상증자 발행가액이 971원 뭐시기 하고 하는데 사고 파는데 뭔 문제가 되나요.,유무신전
전환사채를 발행하면 주가가 떨어지는건가요?,유무신전
어느날 하림이 확떨어졌어요 한 25프로는 한번에 떨어졌는데 이게 무상증자라는건가요?,유무신전
"31일이 신주배정일이었고, 오늘인 11월 1일 전량 매도를 해도 신주인수권은 제 계좌에 들어오나요?",유무신전
"인터플렉스 100주를 보유하고있는데 평단이 33,000원이고 유상증자 받으면 보유주식의 10%만 받을수 있다는데 유증을 받는거 보다 고점시에 매도하는게 더 나을까요?",유무신전
유상증자 받으려고 하는데 잔고에 금액만큼 있으면 되나요?,유무신전
동국실업 주식수 변동 없이 유증가 1200원대에서 900원대로 정정되었는데 이게 호재인지 악재인지 잘모르겠습니다,유무신전
인터플렉스 유상증자 호재일지 악재일지 모르겠네요,유무신전
에이디칩스 보유중인데 어제 오후에 신주인수권 상장한다는 공시가 떴는데 이 신주인수권 상장은 예정된 것인지 그렇다면 어디서 미리 확인할 수 있는건지 알려주세요.,유무신전
1:1 무증 종목을 기준일자 까지 보유 하고 있다가 다음날 아침에 팔게되면 주가의 변동은 없다고 가정할때 50%의 수익이 발생하는건가요?,유무신전
삼화전자 2930원에 150주 있는데 감자에 유상증자라네요이걸 어떻게 대처해야하나요,유무신전
전환사채가 있는 회사인지 미리 아는 방법 없나요??,유무신전
디지탈옵틱 현재 단가 2596에 비중 10프로정도 보유중인데 오늘 유상증자 뉴스가 떳네요 시간외는 내려박고 있고 조언이 조금 필요합니다,유무신전
미래아이앤지 보유중입니다 유증을 한다하고 소송이네 뭐네 말이 많던데 어떻게 보시는지요?,유무신전
유상증자시 시가총액이 느나요?,유무신전
유상증자에서 주주우선공모는 구주주 지분 비율에 관계없이 청약이 가능한걸로 알고 있는데 맞나요?,유무신전
신주배정기준일이 8월 25일이면 8월 23일까지만 가지고 있고 24일부터 매도해도 무상증자 받는데 지장없는거죠?,유무신전
엔피케이 지난 금요일 주주 배정 유상증자 공시가 나왔는데 향후 주가의 예측 의견 부탁 드립니다,유무신전
"CB, 전환사채는 매입 때부터 전환할 액면가를 정하고 하는건가요?",유무신전
"다들 여러종목을 선택해서 투자를 하시던데, 종목선정은 어떤식으로 검색해서 하세요?",투자
미중무역 전쟁이 코스피 코스탁에 많이 끼치는 것 같은데 차트가 소용있나요?,차트질문
스캘핑 하시는분들 보통 하루에 매매를 몇번 하시나요?,투자
시간외 주가 보는 곳 알려주세요.,거래
장 개시 전 종합뉴스창을 보시나요?,투자
호가 관련 차트가 있을까요?,차트질문
거래원 정보가 왜 다른건가요?,거래
거래원은 시장가만 잡히나요?,거래
규모가 큰 단타는 수수료 면제 계좌를 사용하지 않나요?,거래
인출가능금액이 증거금보다 적으면 불이익 받는게 있나요.,거래
시간외거래는 어떻게 봐야 하는 건가요?,거래
"상한가 간 종목이 있는데 개인, 외국인, 기관도 매도만 잡혀 있던데 이거는 어떻게 수급을 체크하나요?",매매동향
1600만% 이런 수익률이 가능한 것인가요?,투자
장전이든 장후든 호가 즉 현재 거래되는 주가 금액은 어디서 볼 수 있나요?,거래
시간외 주가는 어디서 확인하나요?,거래
미국 증시 회복은 언제쯤?,종목전망
호가창 보는 팁이 있을까요?,거래
사람들이 자주 사용하는 용어들 알고싶은데 간단하게 설명 부탁드립니다.,금융용어
우리나라처럼 테마주가 활성화 되어 있는 해외 주식 시장은 어디인가요?,종목정보
감사보고서 제출 완료한 기업이면 안전한건가요?,투자
감사보고서 제출하면 주가가 오르나요 ?,재료
"전환가액 5,000원 1만주 현재가 10,000원 채권자가 1만주 모두 주식으로 전환하면 다음날 갭하락해서 출발하는 것 맞나요?",재료
2월 3월달은 실적발표한 것만 매매하라고 해서 그런 종목만 골라서 했었는데 감사보고서 적정 의견 나오기 전까지 실적발표해도 안전상 매매하지 않는게 좋은건가요?,매매결정
다음달 삼성전자 액면분할한다고 하는데 향후 주가 추이가 어떨까요?,재료
대주주 매도 어떤 영향이 미치나요?,재료
미국과 북한때문에 참 힘든 장이었는데 오늘 상황이 조금이라도 좋아졌다면 빅텍은 폭락했을 수도있는데 그 정도는 감수하고 배팅을 하는건가요?,매매전략
"매수, 매도하는경우 어떨 때 주가가 상승, 하락하는지 여쭤봅니다",재료
삼성전자 액면분할 시 분명 올라갈 것이라 믿는데 지금 액면분할 전 미리 사야하는지 액면분할 후 거래될 때 사야하는지 고견 부탁드려요,매매타이밍
대한제분 종목을 보면 거래대금 2시 지금 2억 정도밖에 거래가 안됐는데 장중투자자동향에서 보면 7935(약80억)이 잡혀있는데왜 이런 오류가 생겼을까요?,거래
셧다운 여파로 비트코인이 오르고 있다 하던데 비트코인 영향이 있는건가요,등락원인
제가 주식을 만원에 샀는데 15000원이 됐는데 앞으로 좋은 회사가 될 것 같아 주식을 15000원에 추가로 매수하는게 좋은건가요,매매전략
공매도의 증가가 상승의 근거가 될 수있을까요?,재료
3시 반 이후 거래량이 높게 나왔다는건 다음날 시초가가 높게 시작할 거라는 증거로 볼 수 있나요?,재료
보호예수물량 해제되면 악재인가요?,재료
체리부로나 진에어 보면 공모가 아래인데 기관이 그만큼 손해인데 어떻게 공모가 아래에서 거래가 되고 있을까요?,거래
13일 삼성제약cb전환 호재인가요 악재인가요?,재료
신라젠 보호예수 곧 해제되는데 악재라고 생각하는데 오늘까지 발표난 건 전부 반영이 된다고 생각하는데 왜 가라앉질 않나요?,재료
마이너스 PER은 어떻게 봐야합니까?,금융용어
투자경고종목지정예고가 만약 오늘 나온다면 11월 16일 종가보다 오늘 종가가 60%이상 상승될 때 맞아요?,재료
롯데쇼핑 신동빈이 매긱했다는데 그럼 어떤 영향이 있을까요?,재료
나라케이아이씨 공시 특급 호재인가요?,재료
금요일에 셀트리온헬스케어 추가상장한다고 하는데 주가에 변동이 심할까요?,재료
"셀트리온 오늘 10시에 코스피 이전과 관련해서 임시주총이 열리는데, 어제부터 해서 계속 주가는 하락을 하고 있는데 이 상황을 어떤식으로 해석을 하면 될까요?",재료
추가상장되면 주가 떨어지던데 반등 가능성 있나요?,재료
부진한 고용지표 발표 후 달러인덱스가 하락했다는 기사를 봤는데 달러인덱스가 왜 하락하나요?,재료
실적발표 전에는 대부분 주가가 상승 하나요?,재료
-30% 물려있었는데 24%가 올랐는데 -12%에요 이유가 아래서 올라와서 그런건가요?,투자
cj헬로 진단부탁드립니다,종목분석
LG유플러스 어떻게 보시나요?,종목분석
LG유플러스 어찌 보시나요?,종목분석
sbi핀테크솔루션즈 주가 분석좀 부탁드려요,종목분석
sk케미칼우 상한가 매수잔량만 있고 매도 잔량이 없던데 어떻게 해석해야 하나요?,종목분석
고려시멘트 투자과열 가격이 어떻게 되는지요?,종목분석
국일제지전망 어떻게 보시나요?,종목분석
금융회사인경우 영업활동으로 인한 현금흐름이2년정도 마이너스여도 위험하지 않은건가요?,종목분석
기가레인 어떤가요?,종목분석
디알텍 어떻게.보시나요?,종목분석
바이오스마트 시총 700억대 흑자나고 견실한데 자꾸 떨어지고 거래량이 없어서 더 힘든데 상담 부탁드려요,종목분석
삼성전자 어때요?,종목분석
